msg_type,mass,time,ax,ay,az,ax_local,ay_local,az_local,pitch,roll,yaw,vx,vy,vz,vx_local,vy_local,vz_local,x,y,z,qw,qx,qy,qz,apogee,baro_altitude,altitude,baro_pressure,baro_temperature,air_pressure,air_density,air_temperature,drag_coefficient,
138,0.477999985218048,43.9779205322266,-0.636417925357819,0.661713659763336,-0.467743903398514,-0.0915510058403015,-0.976861476898193,-0.314674913883209,0.984749495983124,1.54847288131714,-0.48029699921608,-17.9451808929443,27.2891464233398,-17.3119964599609,-1.35197055339813,-32.9750289916992,-16.6502323150635,-130.429275512695,161.682250976563,-103.641418457031,0.533331334590912,0.678819119930267,0.181736245751381,-0.470878213644028,-23.6118297576904,25062.9375,-6.29955863952637,1002.51751708984,11.375,6.54245645425231E-020,6.3190960277545E-035,-1.96942526997062E+024,0,-1.9563281559347E+037
138,0.477999985218048,44.0785217285156,-0.68189924955368,0.535023748874664,-0.415836364030838,-0.124185457825661,-0.9360072016716,-0.180584102869034,0.985351145267487,1.54802763462067,-0.480525553226471,-17.9665718078613,27.3083877563477,-17.3252410888672,-1.33827292919159,-33.0019645690918,-16.6663475036621,-130.974746704102,162.51155090332,-104.167510986328,0.533285677433014,0.678669631481171,0.181971326470375,-0.471054494380951,-23.6093921661377,25062.9375,-6.28366613388062,1002.51751708984,11.375,-0.492644488811493,6.17989326244939E-038,-0.00000000000134906517,0,3.12218623119606E-025
138,0.477999985218048,44.1791305541992,-0.665983200073242,0.675555109977722,-0.458977729082108,-0.116102576255798,-0.99932074546814,-0.313734352588654,0.985518217086792,1.54862093925476,-0.480194747447968,-17.9869804382324,27.3292579650879,-17.3387241363525,-1.33387017250061,-33.0378341674805,-16.6658725738525,-131.521011352539,163.341644287109,-104.694152832031,0.533122539520264,0.678783357143402,0.182001575827599,-0.471063554286957,-23.608039855957,25062.9375,-6.26937103271484,1002.51751708984,11.375,-7.1883687358173E+025,-8.10938348910538E+037,-4.47574538669777E-016,0,4.53182083996026E+025
138,0.477999985218048,44.2787933349609,-0.712370574474335,0.685330629348755,-0.444887191057205,-0.153108939528465,-1.02981984615326,-0.301801234483719,0.985311985015869,1.54950678348541,-0.479066073894501,-18.0063076019287,27.3490047454834,-17.3517055511475,-1.3344966173172,-33.0654907226562,-16.6777381896973,-132.050704956055,164.14631652832,-105.204681396484,0.533136487007141,0.678934454917908,0.182104930281639,-0.470789909362793,-23.6081962585449,25062.875,-6.24071884155273,1002.51501464844,11.375,0.00000000004563852074,nan,8.57289444453153E+023,0,1.13012072805803E-034
138,0.477999985218048,44.3937835693359,-0.611785292625427,0.686641275882721,-0.431432753801346,-0.114901348948479,-0.947289884090424,-0.348302185535431,0.985740005970001,1.54885828495026,-0.478949010372162,-18.0300350189209,27.3712387084961,-17.3673725128174,-1.32338809967041,-33.0881462097168,-16.7120590209961,-132.676361083984,165.096298217773,-105.807441711426,0.533282577991486,0.678714036941528,0.182445049285889,-0.470810532569885,-23.5997161865234,25062.875,-6.23345994949341,1002.51501464844,11.375,6.54245645425231E-020,6.3190960277545E-035,-1.96942526997062E+024,0,-1.9563281559347E+037
138,0.477999985218048,44.494384765625,-0.674713611602783,0.676326453685761,-0.424426108598709,-0.148488610982895,-0.986907541751862,-0.311031103134155,0.986166715621948,1.54909956455231,-0.478660374879837,-18.0508594512939,27.391471862793,-17.3814277648926,-1.31019830703735,-33.1194763183594,-16.7213001251221,-133.224258422852,165.927856445313,-106.335105895996,0.53316742181778,0.678715348243713,0.182633370161057,-0.470866173505783,-23.6081485748291,25062.875,-6.2278037071228,1002.51501464844,11.375,-0.492644488811493,6.17989326244939E-038,-0.00000000000134906517,0,3.12218623119606E-025
138,0.477999985218048,44.5949935913086,-0.608404934406281,0.607671797275543,-0.493948012590408,-0.0404238738119602,-0.950476288795471,-0.2799132168293,0.98623925447464,1.5495423078537,-0.478049904108048,-18.0713005065918,27.4110469818115,-17.3955669403076,-1.30557918548584,-33.1487274169922,-16.7325630187988,-133.77278137207,166.760025024414,-106.863189697266,0.533143758773804,0.678771436214447,0.182761296629906,-0.470762670040131,-23.6168193817139,25062.875,-6.22293281555176,1002.51501464844,11.375,-7.1883687358173E+025,-8.10938348910538E+037,-4.47574538669777E-016,0,4.53182083996026E+025
138,0.477999985218048,44.7090377807617,-0.695057153701782,0.705875813961029,-0.480121642351151,-0.119263753294945,-1.04362428188324,-0.329374104738235,0.986262083053589,1.54968750476837,-0.477739453315735,-18.0938587188721,27.4323234558105,-17.4113788604736,-1.30533480644226,-33.1802520751953,-16.7457885742188,-134.383758544922,167.686492919922,-107.451179504395,0.533162176609039,0.678779780864716,0.182840377092361,-0.470699071884155,-23.6197929382324,25062.625,-6.21270179748535,1002.50500488281,11.375,0.00000000004563852074,nan,8.57289444453153E+023,0,1.13012072805803E-034
138,0.477999985218048,44.8096389770508,-0.7348513007164,0.568878710269928,-0.336546927690506,-0.223072364926338,-0.94442492723465,-0.187557131052017,0.986977338790894,1.54934012889862,-0.47781303524971,-18.1153411865234,27.4524326324463,-17.4252128601074,-1.28606224060059,-33.2074584960937,-16.7638874053955,-134.933456420898,168.51969909668,-107.980033874512,0.533092856407166,0.678631961345673,0.183143988251686,-0.470872402191162,-23.6483707427978,25062.625,-6.22658634185791,1002.50500488281,11.375,6.54245645425231E-020,6.3190960277545E-035,-1.96942526997062E+024,0,-1.9563281559347E+037
138,0.477999985218048,44.9102478027344,-0.611786186695099,0.604010343551636,-0.439395934343338,-0.0857585296034813,-0.921456336975098,-0.275187939405441,0.987149059772491,1.54905831813812,-0.477745085954666,-18.1355304718018,27.4712390899658,-17.4393711090088,-1.28253448009491,-33.2318153381348,-16.7832489013672,-135.483917236328,169.353698730469,-108.509452819824,0.533163785934448,0.67853581905365,0.18329256772995,-0.470872968435288,-23.6756229400635,25062.625,-6.24006652832031,1002.50500488281,11.375,-0.492644488811493,6.17989326244939E-038,-0.00000000000134906517,0,3.12218623119606E-025
